ISO_A3,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ERI,Eritrea,2.6799792626727905e+32,2.6834389080691472e+32,2.602796051869908e+32,2.6425352168677776e+32,2.755092374896566e+32,2.8409681644670527e+32,2.830400886341912e+32,2.6498183157683193e+32,2.7339589608504074e+32,3.0547485539405477e+32,2.7965049792115998e+32,3.0701403440208083e+32,3.063163205349063e+32,2.6742135968228195e+32,3.056901183508612e+32,2.854595846759949e+32,2.877025387927454e+32,2.671443279099478e+32,2.9986894222467677e+32,2.7095893038629753e+32,2.8098081420844016e+32
GNQ,Eq. Guinea,2.7047578857814504e+31,3.091161558919487e+31,3.195871489118572e+31,3.6648620848490127e+31,3.1045506383822314e+31,3.4925995430495374e+31,3.365042168449472e+31,3.970602221719121e+31,3.3378266139976745e+31,3.4817029758321006e+31,3.0972711729126595e+31,3.09118669110741e+31,3.022840137051368e+31,3.606836948704702e+31,3.5547312175723646e+31,3.2790721235292857e+31,3.7170689437077604e+31,3.1771500319356297e+31,2.326433167212319e+31,2.176492049915433e+31,2.6197156077954984e+31
CIV,Côte d'Ivoire,8.33701715063751e+32,7.680667193992772e+32,7.33820225172996e+32,7.673343748947681e+32,7.033732449442203e+32,6.6707950670934e+32,7.033065987810015e+32,6.719339266093316e+32,6.719866488430006e+32,5.973522810345088e+32,6.854259979774422e+32,6.901033574642069e+32,6.3900282912342016e+32,6.50785998448396e+32,5.8009545667845e+32,6.039512525302614e+32,6.100205129133957e+32,5.890513972228864e+32,5.0960391796256016e+32,5.281699905265134e+32,5.780845427463558e+32
COD,Dem. Rep. Congo,7.209769163106678e+33,7.700037942019849e+33,6.715892006398653e+33,7.314604668920343e+33,7.22819330544793e+33,7.759119920168008e+33,7.473197056075718e+33,8.028112618789996e+33,7.792017838749407e+33,6.91084188640859e+33,7.618578875342693e+33,7.111901176657148e+33,7.010767529079568e+33,7.391458693970065e+33,7.02904257848583e+33,7.329715242320618e+33,7.120303669434773e+33,7.475845481372222e+33,6.222212210119349e+33,6.44722811396012e+33,6.282521558970314e+33
COG,Congo,6.795668685322403e+32,6.3907408061610715e+32,6.557870409460292e+32,6.484584010628352e+32,7.163257486684795e+32,7.957497711715658e+32,7.514729228681435e+32,8.257116282575252e+32,6.75974523861039e+32,6.973388602844848e+32,7.429674372405781e+32,7.032917022588137e+32,7.21481183359167e+32,8.115622701969302e+32,7.159673007372458e+32,7.566754532285877e+32,7.505924708247232e+32,7.592405003116084e+32,6.018648878036179e+32,5.963652386968074e+32,6.259143293517788e+32
COM,Comoros,9.443604750508306e+29,9.008235667424802e+29,7.995488351504272e+29,8.069501499328931e+29,7.458094573371067e+29,7.664064296353693e+29,7.50892846852806e+29,8.437830508641756e+29,1.0329833509230741e+30,9.685525904681143e+29,1.1222345645352381e+30,9.294458196864751e+29,9.37806684375239e+29,9.695786220564058e+29,1.0061903733589608e+30,6.367487818212832e+29,8.371797580541458e+29,9.958253963210782e+29,6.594254865881574e+29,1.0157253549412699e+30,6.115170978337036e+29
TCD,Chad,2.4285912272097424e+33,2.4168175074466284e+33,2.4097261394079915e+33,2.4516624976549318e+33,2.2741904469254733e+33,2.421831902449336e+33,2.349563402349924e+33,2.5235662561020194e+33,2.4872038158527567e+33,2.476383262880034e+33,2.409328277613431e+33,2.5738463404775563e+33,2.4509515021316027e+33,2.3631694522116692e+33,2.4138087597128854e+33,2.3091401601726543e+33,2.3817615262622554e+33,2.3571840960714205e+33,2.4372116238103358e+33,2.347448688635283e+33,2.3408029016564165e+33
CAF,Central African Rep.,2.190679141100656e+33,2.14171111178779e+33,1.9692943845278408e+33,2.3410664589846034e+33,1.7649310192029135e+33,2.007743429166741e+33,1.9359927414159854e+33,2.005793309547628e+33,2.0423388154393656e+33,1.9598683907409123e+33,2.0487734009214953e+33,2.1136266054415333e+33,1.942721004477612e+33,2.2005481198553778e+33,1.970906708399331e+33,1.8868121056957874e+33,1.9326532254284462e+33,1.970785953756759e+33,1.640808274287174e+33,1.7669332654980397e+33,1.8437185834632376e+33
CPV,Cabo Verde,5.187956721198711e+30,5.231331506252538e+30,5.271477717536308e+30,4.89410717733328e+30,5.222389586477058e+30,5.040423838506549e+30,5.254527394367922e+30,5.044800797407481e+30,5.438455828484852e+30,5.232432862142671e+30,5.263017502548614e+30,5.657261513428393e+30,5.548531987562137e+30,5.298509669267377e+30,5.685098462362946e+30,4.9978801184948466e+30,5.349002902637747e+30,4.853961330348707e+30,4.85562513093474e+30,4.462731573217356e+30,5.174328196676096e+30
CMR,Cameroon,1.1104337567357202e+33,1.009586392023604e+33,1.0306497031996387e+33,1.0259256549397925e+33,9.275643339505937e+32,9.859215092058481e+32,9.868119613716623e+32,1.0540614733304483e+33,9.87440633313095e+32,9.380844091837827e+32,9.74927207805886e+32,1.0237604642728875e+33,9.707869613564986e+32,1.044651473303618e+33,9.754022938554591e+32,9.846390952547896e+32,9.88597405613859e+32,9.491106224112437e+32,8.429652210229118e+32,8.341413368263854e+32,8.982670401730834e+32
BDI,Burundi,6.8184128251988085e+31,5.60272830869377e+31,5.437205727372498e+31,5.417253047082169e+31,5.752045347523175e+31,6.655143468597988e+31,6.0568695331641685e+31,6.613649628231538e+31,5.543664603098482e+31,5.444882267045532e+31,6.144450396908401e+31,5.326680077528654e+31,5.6208640518696495e+31,6.113776785741554e+31,5.665463613164241e+31,5.434734443366109e+31,5.254978529414871e+31,4.628737594897732e+31,3.1693111879767946e+31,3.0639501059983936e+31,4.10280233443855e+31
BFA,Burkina Faso,7.422405050468895e+32,7.308888806022005e+32,7.088492201223587e+32,6.659891347680173e+32,7.413254752847249e+32,7.274348216254622e+32,7.49754796292237e+32,7.028198171022447e+32,7.157253200088416e+32,7.519722201275418e+32,7.3302273443252e+32,8.120194712101272e+32,7.764323290023195e+32,7.143492265605114e+32,7.101066418681287e+32,6.842445888128086e+32,7.434897612989733e+32,7.104563992827019e+32,7.715780380338302e+32,6.910225624646038e+32,7.796687003319871e+32
BWA,Botswana,1.5436997027505082e+33,1.4071353194342935e+33,1.531596491144302e+33,1.653764083561522e+33,1.306673444608989e+33,1.8221592385609522e+33,1.7489998393960038e+33,1.671733448051131e+33,1.5871970756726888e+33,1.6925902515512384e+33,1.51641278248632e+33,1.5714272098206867e+33,1.6161206391577628e+33,1.437824350907922e+33,1.445531523210563e+33,1.5658098997211765e+33,1.5623971522317875e+33,1.3870168009311554e+33,1.5216009092234689e+33,1.2961794338498815e+33,1.3406736764174627e+33
BEN,Benin,4.8883784498426715e+32,4.528308520664618e+32,4.810214525698602e+32,4.4863323229022186e+32,4.322205343872698e+32,4.1209954532621906e+32,4.1721110380635276e+32,4.361486210808385e+32,4.483954805722924e+32,4.017006613887808e+32,4.2289761881566375e+32,4.593473088813527e+32,4.209398974784087e+32,4.117511275803507e+32,3.709771240150742e+32,3.610577375495991e+32,3.9425727062573846e+32,3.9451956971758755e+32,3.6308108248565745e+32,3.4623683723693334e+32,3.656644231707253e+32
AGO,Angola,4.622956731122915e+33,5.366586535876185e+33,4.816585732885111e+33,5.56777830319668e+33,4.6759754438543354e+33,5.216991773699214e+33,5.1349349771929956e+33,4.807710109187635e+33,5.61851082579727e+33,4.4758442176236403e+33,5.127346382799925e+33,5.22116847408278e+33,4.611807964039001e+33,4.501873984697847e+33,5.427486060735434e+33,4.8771742429011734e+33,4.5010183040129237e+33,4.906493227143401e+33,3.9794047854441055e+33,4.7261401851103034e+33,3.461768445425204e+33
